what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1361599795420
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1361599796479
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1361599874517
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1361599874536
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1361599884256
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1361599903668
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1361599905610
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1361599906554
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1361599907843
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1361600077770
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1361600091156
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1361600092460
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1361831436702
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1361831444020
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1361831464563
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1361831470071
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1361831477821
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1361831602357
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1361831610514
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1361831638503
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1361831646107
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1361831696932
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1361831740588
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1361831744432
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1361831747547
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1361831855868
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1361831915421
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1361832360346
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1361832380553
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1361832415807
